http://bj.lianjia.com/ershoufang/101100850111.html,长河湾 ,1室1厅,65,2号线,西直门,522,650,99694,41
http://bj.lianjia.com/ershoufang/101100949206.html,复兴门外大街 ,2室1厅,55,1号线,南礼士路,420,630,113719,130
http://bj.lianjia.com/ershoufang/101100944438.html,吉庆里小区 ,2室1厅,77,2号线,朝阳门,628,650,83570,170
http://bj.lianjia.com/ershoufang/101100920180.html,吉祥里 ,2室1厅,65,2号线,朝阳门,697,530,80670,31
http://bj.lianjia.com/ershoufang/101100884655.html,月坛西街西里 ,3室1厅,81,2号线,阜成门,833,1000,122250,54
http://bj.lianjia.com/ershoufang/101100772126.html,北礼士路 ,3室1厅,86,2号线,阜成门,306,915,106272,76
http://bj.lianjia.com/ershoufang/101100851109.html,交大嘉园 ,2室2厅,60,2号线,西直门,1104,615,100837,40
http://bj.lianjia.com/ershoufang/101100645703.html,新德街35号院 ,3室1厅,77,2号线,积水潭,917,880,113990,87
http://bj.lianjia.com/ershoufang/101100603535.html,羊肉胡同120号院 ,3室1厅,83,4号线,西四,605,1030,123059,37
http://bj.lianjia.com/ershoufang/101100992330.html,兴化西里 ,3室1厅,71,5号线,和平里北街,696,438,61105,11
http://bj.lianjia.com/ershoufang/101101005293.html,东花市北里中区 ,1室1厅,48,7号线,广渠门内,481,450,92365,17
http://bj.lianjia.com/ershoufang/101100959728.html,文慧园15号16公寓 ,1室1厅,59,2号线,车公庄,0,495,82597,24
http://bj.lianjia.com/ershoufang/101100970190.html,舒至嘉园 ,1室1厅,77,2号线,西直门,641,650,83980,25
http://bj.lianjia.com/ershoufang/101101002709.html,民旺园 ,2室1厅,40,13号线,柳芳,727,460,112690,23
http://bj.lianjia.com/ershoufang/101101023883.html,东直门内北小街16号 ,2室2厅,89,2号线,雍和宫,739,860,95833,7
http://bj.lianjia.com/ershoufang/101101030215.html,东直门内大街 ,1室1厅,60,2号线,东直门,142,660,109982,6
http://bj.lianjia.com/ershoufang/101101030289.html,新景家园东区 ,3室1厅,92,7号线,广渠门内,549,960,104032,18
http://bj.lianjia.com/ershoufang/101101035704.html,土儿胡同 ,2室1厅,69,5号线,北新桥,346,885,127467,15
http://bj.lianjia.com/ershoufang/101101047916.html,玉桃园三区 ,2室2厅,58,4号线,新街口,357,700,120275,7
http://bj.lianjia.com/ershoufang/101101051980.html,文慧园 ,2室1厅,65,2号线,积水潭,667,539,82796,21
http://bj.lianjia.com/ershoufang/101101029495.html,万国城MOMA ,3室1厅,140,2号线,东直门,476,1540,109953,15
http://bj.lianjia.com/ershoufang/101100841883.html,舒至嘉园 ,2室1厅,106,2号线,西直门,641,996,93963,73
http://bj.lianjia.com/ershoufang/101100769013.html,新兴中巷 ,2室1厅,57,2号线,西直门,473,610,106458,33
http://bj.lianjia.com/ershoufang/101100891472.html,文慧园路21号 ,2室1厅,64,2号线,积水潭,962,550,84877,33
http://bj.lianjia.com/ershoufang/101100853760.html,花市枣苑二期 ,2室1厅,115,7号线,广渠门内,308,1190,103479,34
http://bj.lianjia.com/ershoufang/101100832533.html,东中街 ,4室1厅,200,2号线,东四十条,443,1770,88161,50
http://bj.lianjia.com/ershoufang/101100725216.html,香饵胡同 ,2室1厅,67,5号线,北新桥,350,815,119995,90
http://bj.lianjia.com/ershoufang/101100964212.html,民安小区民安街 ,3室2厅,110,2号线,东直门,433,1380,125273,9
http://bj.lianjia.com/ershoufang/101101036590.html,海云轩 ,2室1厅,117,2号线,西直门,904,900,76851,19
http://bj.lianjia.com/ershoufang/101100826521.html,唐缘私家别墅 ,3室2厅,241,2号线,朝阳门,633,2000,82988,41
http://bj.lianjia.com/ershoufang/101100924056.html,北礼士路60号院 ,3室1厅,68,2号线,车公庄,138,850,124270,26
http://bj.lianjia.com/ershoufang/101100732825.html,青年湖东里 ,1室1厅,37,2号线,安定门,757,400,106270,61
http://bj.lianjia.com/ershoufang/101100948088.html,六铺炕 ,2室1厅,50,8号线,安德里北街,91,583,115813,44
http://bj.lianjia.com/ershoufang/101100915455.html,西水井胡同 ,2室1厅,74,2号线,朝阳门,415,720,96065,47
